# base	program	render_date	wistia_url
what-makes-for-a-dream-job_early-career-boost	early-career-boost	2026-07-17	https://sclc.wistia.com/medias/gryylc7qns
better-decisions-come-from-better-criteria_early-career-boost	early-career-boost	2026-07-29	https://sclc.wistia.com/medias/t6cathsymi
build-direction-before-you-build-a-plan_early-career-boost	early-career-boost	2026-08-04	https://sclc.wistia.com/medias/v2gnkvdcbc
career-building-is-a-repeatable-process_early-career-boost	early-career-boost	2026-08-05	https://sclc.wistia.com/medias/cnj1463xuw
finding-creating-a-career-purpose-statement_early-career-boost	early-career-boost	2026-08-05	https://sclc.wistia.com/medias/0szz79g9m7
how-to-make-strong-career-decisions_early-career-boost	early-career-boost	2026-08-05	https://sclc.wistia.com/medias/u54hifguqf
what-energizes-me_early-career-boost	early-career-boost	2026-08-05	https://sclc.wistia.com/medias/0lbi1p8due
skills-for-the-ai-era-future_early-career-boost	early-career-boost	2026-08-05	https://sclc.wistia.com/medias/r21mwmy2tn
using-the-career-map-tool_early-career-boost	early-career-boost	2026-08-05	https://sclc.wistia.com/medias/599zwe5ii9
mini-syllabus_early-career-boost	early-career-boost	2026-08-06	https://sclc.wistia.com/medias/ays7di6sti
do-not-just-ask-what-ai-replaces_early-career-boost	early-career-boost	2026-08-06	https://sclc.wistia.com/medias/uhnqbjt0x7
m1_mini-syllabus	mid-career-momentum	2026-08-07	https://sclc.wistia.com/medias/ix0uy4jjmg
m3_the-identity-audit	career-transitions	2026-08-07	https://sclc.wistia.com/medias/7kcc5t69fk
m0_welcome-to-mid-career-momentum	mid-career-momentum	2026-08-07	https://sclc.wistia.com/medias/vpvjkr68dy
m2_welcome-and-using-career-transitions-as-leaps-ahead	career-transitions	2026-08-07	https://sclc.wistia.com/medias/izkgx5kdba
m6_youve-built-momentum	mid-career-momentum	2026-08-07	https://sclc.wistia.com/medias/6fsnr8zwt2
m3_rewrite-your-linkedin-for-future-you	mid-career-momentum	2026-08-08	https://sclc.wistia.com/medias/n3tl8aczyl
m3_choosing-your-solo-model	entrepreneur-accelerator	2026-08-10	https://sclc.wistia.com/medias/6lvtga2yzt
m5_the-story-that-makes-the-change-legible	career-transitions	2026-08-10	https://sclc.wistia.com/medias/9739fjclol
m5_testing-your-next-chapter	career-transitions	2026-08-10	https://sclc.wistia.com/medias/1csb5yue4s
m4_finding-new-peers-sponsors-and-opportunity-holders	mid-career-momentum	2026-08-10	https://sclc.wistia.com/medias/tklv0cr5xx
m4_who-will-walk-this-next-chapter-with-you	mid-career-momentum	2026-08-10	https://sclc.wistia.com/medias/lph5w2gcn8
m2_four-kinds-of-career-transition_career-transitions	career-transitions	2026-08-10	https://sclc.wistia.com/medias/8my18zw4fb
m2_mid-career-mindsets-and-limiting-beliefs	mid-career-momentum	2026-08-10	https://sclc.wistia.com/medias/bw01arzcic
m2_four-kinds-of-career-transition_mid-career-momentum	mid-career-momentum	2026-08-10	https://sclc.wistia.com/medias/02cu6ojupk
